price,area,location,district,bedrooms_n,bathrooms_n,floors_n,house_type,year_built,facade_width,legal_status
42000.0,224.0,"Quận Ninh Kiều, Cần Thơ",Quận Ninh Kiều,3,5,,nhà ở,,,so hong
8000.0,158.0,"Quận Ninh Kiều, Cần Thơ",Quận Ninh Kiều,2,2,,nhà ở,,,so hong
26000.0,137.0,"Quận Ninh Kiều, Cần Thơ",Quận Ninh Kiều,2,2,,nhà ở,,,so hong
25000.0,187.0,"Quận Ninh Kiều, Cần Thơ",Quận Ninh Kiều,3,3,,nhà ở,,,so hong
6500.0,361.0,"Quận Cái Răng, Cần Thơ",Quận Cái Răng,0,0,,nhà ở,,,so hong
16500.0,240.0,"Quận Cái Răng, Cần Thơ",Quận Cái Răng,0,0,,nhà ở,,,so hong
20000.0,112.0,"Quận Ninh Kiều, Cần Thơ",Quận Ninh Kiều,5,5,,nhà ở,,,so hong
13900.0,175.0,"Quận Cái Răng, Cần Thơ",Quận Cái Răng,3,4,,biệt thự,,,so hong
10500.0,99.0,"Quận Ninh Kiều, Cần Thơ",Quận Ninh Kiều,1,1,,nhà ở,,,so hong
17000.0,80.0,"Quận Ninh Kiều, Cần Thơ",Quận Ninh Kiều,12,12,,nhà ở,,,so hong
39000.0,900.0,"Quận Ninh Kiều, Cần Thơ",Quận Ninh Kiều,5,5,,biệt thự,,,so hong
20000.0,140.0,"Quận Ninh Kiều, Cần Thơ",Quận Ninh Kiều,5,5,,nhà ở,,,so hong
45000.0,3700.0,"Quận Cái Răng, Cần Thơ",Quận Cái Răng,2,6,,nhà ở,,,so hong
12000.0,40.0,"Quận Ninh Kiều, Cần Thơ",Quận Ninh Kiều,1,1,,nhà ở,,,so hong
13800.0,81.0,"Quận Ninh Kiều, Cần Thơ",Quận Ninh Kiều,1,1,,nhà ở,,,so hong
35000.0,2148.0,"Quận Cái Răng, Cần Thơ",Quận Cái Răng,12,12,,nhà ở,,,so hong
8600.0,67.0,"Quận Ninh Kiều, Cần Thơ",Quận Ninh Kiều,2,3,,nhà ở,,,so hong
5200.0,200.0,"Quận Bình Thuỷ, Cần Thơ",Quận Bình Thuỷ,0,0,,nhà ở,,,so hong
7600.0,257.0,"Quận Bình Thuỷ, Cần Thơ",Quận Bình Thuỷ,0,0,,nhà ở,,,so hong
12000.0,58.0,"Quận Ninh Kiều, Cần Thơ",Quận Ninh Kiều,1,1,,nhà ở,,,so hong
34000.0,320.0,"Quận Ninh Kiều, Cần Thơ",Quận Ninh Kiều,5,5,,nhà ở,,,so hong
19000.0,68.0,"Quận Ninh Kiều, Cần Thơ",Quận Ninh Kiều,6,7,,nhà ở,,,so hong
13000.0,96.0,"Quận Ninh Kiều, Cần Thơ",Quận Ninh Kiều,0,1,,nhà ở,,,so hong
32000.0,308.0,"Quận Ninh Kiều, Cần Thơ",Quận Ninh Kiều,3,3,,nhà ở,,,so hong
19000.0,88.0,"Quận Ninh Kiều, Cần Thơ",Quận Ninh Kiều,4,5,,nhà ở,,,so hong
15000.0,158.0,"Quận Ninh Kiều, Cần Thơ",Quận Ninh Kiều,1,1,,nhà ở,,,so hong
14900.0,375.0,"Quận Cái Răng, Cần Thơ",Quận Cái Răng,3,4,,nhà phố,,,so hong
20000.0,339.0,"Quận Ninh Kiều, Cần Thơ",Quận Ninh Kiều,3,3,,nhà ở,,,so hong
14000.0,242.0,"Quận Cái Răng, Cần Thơ",Quận Cái Răng,0,0,,nhà ở,,,so hong
8500.0,65.0,"Quận Ninh Kiều, Cần Thơ",Quận Ninh Kiều,2,2,,nhà ở,,,so hong
20000.0,81.0,"Quận Ninh Kiều, Cần Thơ",Quận Ninh Kiều,5,5,,nhà ở,,,so hong
15000.0,90.0,"Quận Ninh Kiều, Cần Thơ",Quận Ninh Kiều,5,5,,nhà ở,,,so hong
19000.0,90.0,"Quận Ninh Kiều, Cần Thơ",Quận Ninh Kiều,3,3,,nhà ở,,,so hong
12500.0,100.0,"Quận Ninh Kiều, Cần Thơ",Quận Ninh Kiều,0,1,,nhà ở,,,so hong
35000.0,309.0,"Quận Ninh Kiều, Cần Thơ",Quận Ninh Kiều,4,4,,nhà ở,,,so hong
10500.0,80.0,"Quận Ninh Kiều, Cần Thơ",Quận Ninh Kiều,4,4,,nhà phố,,,so hong
88000.0,1670.0,"Quận Ninh Kiều, Cần Thơ",Quận Ninh Kiều,0,0,,biệt thự,,,so hong
21000.0,220.0,"Quận Ninh Kiều, Cần Thơ",Quận Ninh Kiều,5,5,,nhà ở,,,so hong
13900.0,100.0,"Quận Ninh Kiều, Cần Thơ",Quận Ninh Kiều,5,6,,nhà ở,,,so hong
16900.0,327.0,"Quận Ninh Kiều, Cần Thơ",Quận Ninh Kiều,13,14,,nhà ở,,,so hong
22500.0,240.0,"Quận Cái Răng, Cần Thơ",Quận Cái Răng,2,1,,nhà ở,,,so hong
8500.0,88.0,"Quận Bình Thuỷ, Cần Thơ",Quận Bình Thuỷ,0,0,,nhà ở,,,so hong
39000.0,269.0,"Quận Ninh Kiều, Cần Thơ",Quận Ninh Kiều,4,5,,nhà ở,,,so hong
14000.0,185.0,"Quận Cái Răng, Cần Thơ",Quận Cái Răng,0,0,,nhà ở,,,so hong
16900.0,150.0,"Quận Ninh Kiều, Cần Thơ",Quận Ninh Kiều,3,3,,nhà ở,,,so hong
16000.0,350.0,"Huyện Phong Điền, Cần Thơ",Huyện Phong Điền,0,0,,nhà ở,,,so hong
21000.0,96.0,"Quận Ninh Kiều, Cần Thơ",Quận Ninh Kiều,3,3,,nhà ở,,,so hong
26000.0,170.0,"Quận Ninh Kiều, Cần Thơ",Quận Ninh Kiều,8,9,,nhà ở,,,so hong
30000.0,185.0,"Quận Ninh Kiều, Cần Thơ",Quận Ninh Kiều,5,6,,nhà ở,,,so hong
9990.0,120.0,"Quận Cái Răng, Cần Thơ",Quận Cái Răng,0,0,,nhà ở,,,so hong
10000.0,80.0,"Quận Ninh Kiều, Cần Thơ",Quận Ninh Kiều,0,0,,nhà ở,,,so hong
60000.0,430.0,"Quận Ninh Kiều, Cần Thơ",Quận Ninh Kiều,0,1,,nhà ở,,,so hong
36000.0,384.0,"Quận Cái Răng, Cần Thơ",Quận Cái Răng,0,0,,nhà ở,,,so hong
25000.0,716.0,"Quận Ninh Kiều, Cần Thơ",Quận Ninh Kiều,0,0,,nhà ở,,,so hong
60000.0,400.0,"Quận Ninh Kiều, Cần Thơ",Quận Ninh Kiều,2,2,,nhà ở,,,so hong
30000.0,255.0,"Quận Ninh Kiều, Cần Thơ",Quận Ninh Kiều,0,0,,nhà ở,,,so hong
22000.0,180.0,"Quận Ninh Kiều, Cần Thơ",Quận Ninh Kiều,2,2,,nhà ở,,,so hong
19500.0,90.0,"Quận Ninh Kiều, Cần Thơ",Quận Ninh Kiều,6,6,,nhà ở,,,so hong
15000.0,450.0,"Quận Ninh Kiều, Cần Thơ",Quận Ninh Kiều,0,0,,nhà ở,,,so hong
17000.0,212.0,"Quận Ninh Kiều, Cần Thơ",Quận Ninh Kiều,0,0,,nhà ở,,,so hong
18000.0,100.0,"Quận Ninh Kiều, Cần Thơ",Quận Ninh Kiều,11,11,,nhà ở,,,so hong
23240.0,332.0,"Quận Bình Thuỷ, Cần Thơ",Quận Bình Thuỷ,2,2,,nhà ở,,,so hong
28000.0,232.0,"Quận Cái Răng, Cần Thơ",Quận Cái Răng,0,0,,nhà ở,,,so hong
43000.0,1054.0,"Quận Ninh Kiều, Cần Thơ",Quận Ninh Kiều,0,0,,nhà ở,,,so do
40560.0,520.0,"Quận Ninh Kiều, Cần Thơ",Quận Ninh Kiều,1,1,,nhà ở,,,so hong
21000.0,140.0,"Quận Ninh Kiều, Cần Thơ",Quận Ninh Kiều,1,1,,nhà ở,,,so hong
45000.0,287.0,"Quận Ninh Kiều, Cần Thơ",Quận Ninh Kiều,1,1,,nhà ở,,,so hong
15000.0,250.0,"Quận Cái Răng, Cần Thơ",Quận Cái Răng,0,0,,nhà ở,,,so hong
14900.0,68.0,"Quận Ninh Kiều, Cần Thơ",Quận Ninh Kiều,4,5,,nhà ở,,,so hong
19500.0,140.0,"Quận Ninh Kiều, Cần Thơ",Quận Ninh Kiều,4,5,,nhà ở,,,hop dong mua ban
46700.0,524.0,"Quận Ninh Kiều, Cần Thơ",Quận Ninh Kiều,0,0,,nhà ở,,,so hong
40000.0,270.0,"Quận Ninh Kiều, Cần Thơ",Quận Ninh Kiều,1,1,,nhà ở,,,so hong
28000.0,138.0,"Quận Ninh Kiều, Cần Thơ",Quận Ninh Kiều,2,3,,nhà ở,,,so hong
8900.0,106.0,"Quận Ninh Kiều, Cần Thơ",Quận Ninh Kiều,1,1,,nhà ở,,,so hong
16000.0,363.0,"Quận Cái Răng, Cần Thơ",Quận Cái Răng,0,0,,biệt thự,,,so hong
22000.0,292.0,"Quận Cái Răng, Cần Thơ",Quận Cái Răng,8,10,,nhà ở,,,so hong
